project,wait_days,method,n_tree_bst,theta_imb_bst,theta_cl_bst,ave_gmean_pre
brackets,5,our,30,0.95,0.9,0.648
brackets,10,our,30,0.95,0.8,0.645
brackets,15,our,40,0.95,0.8,0.653
brackets,30,our,40,0.99,0.9,0.61
brackets,60,our,40,0.999,0.8,0.565
broadleaf,5,our,40,0.99,0.8,0.624
broadleaf,10,our,40,0.95,0.9,0.634
broadleaf,15,our,30,0.9,0.9,0.625
broadleaf,30,our,40,0.999,0.9,0.637
broadleaf,60,our,10,0.99,0.8,0.663
camel,5,our,40,0.999,0.8,0.553
camel,10,our,40,0.999,0.8,0.559
camel,15,our,5,0.999,0.8,0.56
camel,30,our,40,0.999,0.8,0.563
camel,60,our,40,0.95,0.8,0.589
corefx,5,our,30,0.99,0.8,0.571
corefx,10,our,10,0.99,0.9,0.586
corefx,15,our,10,0.99,0.8,0.568
corefx,30,our,30,0.99,0.8,0.59
corefx,60,our,40,0.9,0.9,0.625
django,5,our,20,0.99,0.8,0.605
django,10,our,30,0.99,0.8,0.57
django,15,our,40,0.99,0.8,0.578
django,30,our,40,0.99,0.8,0.579
django,60,our,20,0.999,0.9,0.542
fabric,5,our,20,0.99,0.8,0.542
fabric,10,our,40,0.95,0.9,0.575
fabric,15,our,10,0.99,0.8,0.556
fabric,30,our,40,0.99,0.8,0.557
fabric,60,our,40,0.99,0.8,0.572
jgroups,5,our,40,0.99,0.9,0.536
jgroups,10,our,30,0.99,0.9,0.529
jgroups,15,our,20,0.99,0.9,0.531
jgroups,30,our,40,0.99,0.9,0.523
jgroups,60,our,40,0.99,0.8,0.529
nova,5,our,40,0.99,0.8,0.563
nova,10,our,40,0.95,0.9,0.539
nova,15,our,40,0.95,0.8,0.547
nova,30,our,5,0.999,0.9,0.413
nova,60,our,5,0.999,0.9,0.239
rails,5,our,40,0.95,0.9,0.529
rails,10,our,20,0.99,0.8,0.513
rails,15,our,30,0.999,0.8,0.563
rails,30,our,30,0.999,0.9,0.535
rails,60,our,5,0.99,0.8,0.321
rust,5,our,40,0.99,0.9,0.56
rust,10,our,20,0.99,0.8,0.605
rust,15,our,5,0.99,0.8,0.553
rust,30,our,30,0.99,0.8,0.571
rust,60,our,30,0.999,0.9,0.705
tensorflow,5,our,10,0.99,0.9,0.569
tensorflow,10,our,20,0.95,0.9,0.583
tensorflow,15,our,30,0.99,0.8,0.609
tensorflow,30,our,40,0.95,0.9,0.59
tensorflow,60,our,5,0.999,0.8,0.417
tomcat,5,our,40,0.99,0.9,0.529
tomcat,10,our,30,0.99,0.8,0.524
tomcat,15,our,40,0.99,0.8,0.538
tomcat,30,our,40,0.99,0.8,0.54
tomcat,60,our,30,0.9,0.9,0.503
vscode,5,our,40,0.99,0.8,0.734
vscode,10,our,20,0.99,0.8,0.702
vscode,15,our,30,0.99,0.9,0.669
vscode,30,our,5,0.95,0.9,0.396
vscode,60,our,5,0.9,0.9,0.041
wp-calypso,5,our,30,0.99,0.8,0.456
wp-calypso,10,our,10,0.99,0.9,0.485
wp-calypso,15,our,40,0.9,0.9,0.553
wp-calypso,30,our,20,0.9,0.9,0.532
wp-calypso,60,our,30,0.95,0.8,0.409
